_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
1,1,101,2526.753337,O-6 Bağlantı Yolu,17,3,3t,,,101,12001883,,,,,KARAYOLLARI(Mevcut)(66),107.5233508
2,2,251,1046.726879,100. Yıl Cad.,2,1,2t,1,Asfalt,251,229781,(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihli Meclis Kararı ile Karayollarından İBB?ye DEVİR  yürürlüğe girmiştir,Anaarter (2004 DEVİR inden Kalan Yollar) (911),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,Hala Anaarter,Anaarter (2004 Karayolları Protokolünden KALANLAR)(911),197.6028909
3,3,1140,2930.679018,Seyfettin Sk.,3,1,2ç,2,Asfalt,1140,255611,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),317.0866133
4,4,1294,3873.864838,Hacıoğlu Sk.,3,1,1ç,1,Beton,1294,300375,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),963.9073046
5,5,1994,3931.669288,Gökyüzü Cad.,2,1,2ç,2,Asfalt,1994,441236,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),128.7244636
6,6,2170,3994.278335,Çayırdere Sayalar Yolu Sk.,3,1,2ç,2,Asfalt,2170,318209,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),33.62965536
7,7,2174,3195.387735,Milli Şair Cad.,2,1,2ç,2,Asfalt,2174,352130,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),890.6417928
8,8,2259,5536.920665,Danamandıra Cad.,2,1,2ç,2,Asfalt,2259,319773,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),5.868176292
9,9,2262,425.2336969,Hacı Ömer Cad.,2,1,2ç,2,Asfalt,2262,351864,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),115.3162431
10,10,2358,4035.260176,Meydan Cad.,2,1,2ç,2,Asfalt,2358,190974,28.01.2005 Tarihli KÖY HİZMETLERİ Protokolü ile İBB'ye devredilmşitir. FAKAT ANAARTER KARARI YOKTUR ; UKOME2009/8-1 (17.12.2009) tarihli UKOME kararıyla ANAARTER kapsamına alınmıştır.,Anaarter (2009/8-1 Köyhizmetleri_EKLENEN) (4),(28.01.2005) Köy Hizmetleri Protokolü ; UKOME2009/8-1 (17.12.2009) ANAARTER Güncelleme Çalışması,Hala Anaarter,Anaarter (UKOME 2009/8-1 ile Köy Hizm. Devir)(44),951.6803045
